0.758338	3/1000	1	9.24767e-09	GCF_000004695.1_dicty_2.7_genomic.fna.gz	[41 seqs] NC_007087.3 Dictyostelium discoideum AX4 chromosome 1 chromosome, whole genome shotgun sequence [...]
0.719686	1/1000	125	0.00381429	GCF_000007365.1_ASM736v1_genomic.fna.gz	NC_004061.1 Buchnera aphidicola str. Sg (Schizaphis graminum), complete genome
0.719686	1/1000	4	0.00381429	GCF_000008225.1_ASM822v1_genomic.fna.gz	NC_007332.1 Mycoplasma hyopneumoniae 7448, complete genome
0.719686	1/1000	1	0.00381429	GCF_000010585.1_ASM1058v1_genomic.fna.gz	[9 seqs] NC_011999.1 Macrococcus caseolyticus JCSC5402 DNA, complete genome [...]
0.719686	1/1000	1	0.00381429	GCF_000011745.1_ASM1174v1_genomic.fna.gz	NC_007292.1 Candidatus Blochmannia pennsylvanicus str. BPEN, complete genome
0.743837	2/1000	1	7.27641e-06	GCF_000012545.1_ASM1254v1_genomic.fna.gz	NC_007681.1 Methanosphaera stadtmanae DSM 3091, complete genome
0.719686	1/1000	1	0.00381429	GCF_000015645.1_ASM1564v1_genomic.fna.gz	NC_008816.1 Prochlorococcus marinus str. AS9601, complete genome
0.719686	1/1000	1	0.00381429	GCF_000017545.1_ASM1754v1_genomic.fna.gz	NC_009718.1 Fervidobacterium nodosum Rt17-B1, complete genome
0.719686	1/1000	1	0.00381429	GCF_000018245.1_ASM1824v1_genomic.fna.gz	NC_009883.1 Rickettsia bellii OSU 85-389, complete genome
0.719686	1/1000	1	0.00381429	GCF_000018485.1_ASM1848v1_genomic.fna.gz	NC_009975.1 Methanococcus maripaludis C6, complete genome
0.719686	1/1000	11	0.00381429	GCF_000018945.1_ASM1894v1_genomic.fna.gz	NC_011978.1 Thermotoga neapolitana DSM 4359, complete genome
0.719686	1/1000	15	0.00381429	GCF_000019045.1_ASM1904v1_genomic.fna.gz	NC_011567.1 Anoxybacillus flavithermus WK1, complete genome
0.719686	1/1000	1	0.00381429	GCF_000020605.1_ASM2060v1_genomic.fna.gz	NC_012781.1 Eubacterium rectale ATCC 33656, complete genome
0.743837	2/1000	2	7.27641e-06	GCF_000021085.1_ASM2108v1_genomic.fna.gz	NC_011833.1 Buchnera aphidicola str. 5A (Acyrthosiphon pisum), complete genome
0.719686	1/1000	1	0.00381429	GCF_000021665.1_ASM2166v1_genomic.fna.gz	[4 seqs] NC_011663.1 Shewanella baltica OS223, complete genome [...]
0.719686	1/1000	15	0.00381429	GCF_000025285.1_ASM2528v1_genomic.fna.gz	[2 seqs] NC_013741.1 Archaeoglobus profundus DSM 5631, complete genome [...]
0.743837	2/1000	14	7.27641e-06	GCF_000025845.1_ASM2584v1_genomic.fna.gz	NC_014014.1 Mycoplasma crocodyli MP145, complete genome
0.783786	6/1000	1	4.24799e-18	GCF_000026205.1_ASM2620v1_genomic.fna.gz	NC_011047.1 Candidatus Phytoplasma mali strain AT complete chromosome
0.719686	1/1000	1	0.00381429	GCF_000026765.1_ASM2676v1_genomic.fna.gz	NC_012806.1 Mycoplasma conjunctivae HRC/581T complete genome
0.983492	705/1000	13	0	GCF_000060285.1_ASM6028v1_genomic.fna.gz	NC_008555.1 Listeria welshimeri serovar 6b str. SLCC5334 complete genome
0.719686	1/1000	1	0.00381429	GCF_000063545.1_ASM6354v1_genomic.fna.gz	NC_009488.1 Orientia tsutsugamushi Boryong complete genome
0.719686	1/1000	10	0.00381429	GCF_000090945.1_ASM9094v1_genomic.fna.gz	[11 seqs] NZ_GL349422.1 Peptoniphilus sp. oral taxon 386 str. F0131 supercont1.1, whole genome shotgun sequence [...]
